
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013028                       # Number of seconds simulated (Second)
simTicks                                  13027581000                       # Number of ticks simulated (Tick)
finalTick                                 13027581000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.02                       # Real time elapsed on the host (Second)
hostTickRate                                250440136                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     721396                       # Number of bytes of host memory used (Byte)
simInsts                                     11382748                       # Number of instructions simulated (Count)
simOps                                       22691374                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   218820                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     436215                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         13027582                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23032368                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       14                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30844898                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  28671                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               341002                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            515186                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12995692                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.373471                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.306579                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4038667     31.08%     31.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2402451     18.49%     49.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    932508      7.18%     56.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1040381      8.01%     64.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1877931     14.45%     79.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1258970      9.69%     88.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    747849      5.75%     94.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    412860      3.18%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    284075      2.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12995692                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   55726      2.05%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.05% # attempts to use FU when none available (Count)
